NO_OF_FRAMES	960
NO_OF_CAMERAS	7
NO_OF_MARKERS	21
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-10-29, 11:10:21	2461.84570916
DATA_INCLUDED	3D
MARKER_NAMES	head	C7	L5	AcrL	EllL	HaL	FingerL	TrochL	KnL	MalLatL	MalMedL	ToeL	AcrR	EllR	HaR	FingerR	TrochR	KnR	MalLatR	MalMedR	ToeR
Frame	Time	head X	head Y	head Z	C7 X	C7 Y	C7 Z	L5 X	L5 Y	L5 Z	AcrL X	AcrL Y	AcrL Z	EllL X	EllL Y	EllL Z	HaL X	HaL Y	HaL Z	FingerL X	FingerL Y	FingerL Z	TrochL X	TrochL Y	TrochL Z	KnL X	KnL Y	KnL Z	MalLatL X	MalLatL Y	MalLatL Z	MalMedL X	MalMedL Y	MalMedL Z	ToeL X	ToeL Y	ToeL Z	AcrR X	AcrR Y	AcrR Z	EllR X	EllR Y	EllR Z	HaR X	HaR Y	HaR Z	FingerR X	FingerR Y	FingerR Z	TrochR X	TrochR Y	TrochR Z	KnR X	KnR Y	KnR Z	MalLatR X	MalLatR Y	MalLatR Z	MalMedR X	MalMedR Y	MalMedR Z	ToeR X	ToeR Y	ToeR Z	
1	0.00000	915.663	328.527	1392.857	0.000	0.000	0.000	0.000	0.000	0.000	1110.424	179.454	1253.490	1115.588	120.170	977.050	1030.696	68.432	784.062	995.567	92.212	618.165	1088.536	180.583	824.377	1105.643	257.957	373.361	1211.284	281.346	43.063	0.000	0.000	0.000	1055.169	337.801	1.241	1096.031	516.720	1236.365	1104.556	569.666	963.825	993.012	578.719	776.888	921.949	537.316	630.780	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	864.516	469.970	23.635
2	0.00417	913.220	328.770	1392.119	0.000	0.000	0.000	0.000	0.000	0.000	1107.909	179.633	1253.897	1113.186	120.725	976.444	1028.268	69.479	783.065	992.234	92.720	618.678	1087.906	181.176	824.831	1105.460	258.754	373.530	1210.838	281.007	43.383	0.000	0.000	0.000	1056.005	337.658	0.938	1093.895	516.726	1236.395	1105.369	567.575	962.969	991.282	579.277	776.908	920.044	538.191	630.168	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	852.745	470.657	25.095
3	0.00833	910.747	328.732	1391.790	0.000	0.000	0.000	0.000	0.000	0.000	1105.600	179.385	1253.530	1110.040	119.740	976.617	1024.803	69.072	783.820	988.954	93.286	619.363	1085.228	181.013	824.903	1103.415	258.201	373.181	1211.260	281.552	43.136	0.000	0.000	0.000	1056.091	338.307	-1.585	1091.471	516.340	1236.292	1100.521	570.837	965.588	989.610	579.436	776.510	918.296	539.349	629.171	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	840.718	469.392	21.801
4	0.01250	908.318	328.604	1391.117	1142.334	348.093	1275.973	0.000	0.000	0.000	1103.495	179.209	1252.768	1108.387	120.104	975.993	1022.087	69.654	782.144	986.355	93.597	618.990	1085.722	180.178	825.366	1102.213	257.965	372.648	1211.095	281.175	42.734	0.000	0.000	0.000	1055.995	337.472	0.182	1089.335	516.035	1236.432	1099.000	569.829	965.365	988.049	579.503	776.082	916.633	540.049	629.279	1138.597	498.330	840.223	885.180	501.926	415.919	0.000	0.000	0.000	0.000	0.000	0.000	829.371	468.106	22.582
5	0.01667	905.722	328.243	1390.446	1139.674	348.003	1275.672	0.000	0.000	0.000	1101.148	179.043	1252.444	1105.840	120.216	975.657	1019.510	70.421	782.208	983.110	94.421	618.870	1083.687	180.301	825.340	1101.194	258.017	372.104	1211.232	281.337	42.857	0.000	0.000	0.000	1055.915	337.379	0.236	1086.897	515.892	1236.417	1097.193	569.900	965.339	986.465	579.755	775.934	914.954	540.639	629.119	1136.255	498.541	839.855	885.134	500.886	416.810	0.000	0.000	0.000	0.000	0.000	0.000	818.341	468.799	24.854
6	0.02083	903.331	328.226	1390.555	1137.417	347.927	1275.540	0.000	0.000	0.000	1098.633	178.984	1251.847	1103.454	120.218	975.146	1016.704	70.914	781.837	979.647	95.326	618.795	1082.048	180.428	825.245	1099.897	257.706	371.712	1211.242	281.512	42.745	0.000	0.000	0.000	1056.059	337.711	0.861	1084.713	516.003	1236.639	1095.256	570.563	965.315	984.932	580.348	775.810	913.160	541.144	628.925	1133.812	498.632	839.282	883.067	501.002	417.262	0.000	0.000	0.000	944.417	412.691	84.071	807.778	469.083	26.391
7	0.02500	900.767	328.109	1390.027	1134.969	347.795	1275.451	0.000	0.000	0.000	1096.072	178.765	1251.600	1100.905	120.493	974.860	1013.443	71.046	781.235	976.694	95.685	618.217	1080.044	180.475	825.405	1098.885	257.931	371.690	1211.099	281.601	42.859	0.000	0.000	0.000	1055.984	337.339	0.556	1082.444	515.695	1236.388	1093.326	570.194	965.236	983.243	580.698	775.405	911.429	542.091	628.764	1131.670	498.786	838.931	882.040	499.596	416.865	0.000	0.000	0.000	933.906	411.974	85.716	796.910	468.610	26.622
8	0.02917	898.166	328.174	1389.376	1132.784	347.686	1275.268	0.000	0.000	0.000	1093.655	178.609	1251.070	1098.463	120.747	974.491	1010.842	71.727	781.160	973.196	96.838	617.878	1078.189	180.480	825.286	1097.798	257.970	371.409	1211.215	282.038	43.149	0.000	0.000	0.000	1055.732	337.291	0.545	1080.057	515.629	1236.351	1091.405	570.332	964.990	981.342	581.077	774.802	909.696	542.951	628.476	1128.993	498.931	838.620	880.274	499.370	416.498	0.000	0.000	0.000	924.835	412.184	81.774	786.456	468.164	27.034
9	0.03333	895.646	328.224	1389.279	1130.426	347.683	1274.748	0.000	0.000	0.000	1091.267	178.544	1250.386	1095.938	120.891	974.137	1008.057	72.205	780.792	969.944	97.668	617.308	1076.381	180.424	825.141	1096.851	258.153	371.294	1211.214	282.018	43.121	0.000	0.000	0.000	1055.742	337.613	0.940	1077.833	515.618	1236.116	1089.547	570.538	965.044	979.476	581.517	774.354	907.978	543.749	628.125	1126.182	499.173	837.987	878.684	499.282	416.398	0.000	0.000	0.000	916.575	413.389	80.429	776.060	468.115	28.310
10	0.03750	893.045	327.983	1388.789	1128.053	347.575	1274.748	0.000	0.000	0.000	1088.695	178.571	1250.134	1093.204	120.930	973.368	1005.231	72.653	780.461	966.588	98.397	616.750	1074.542	180.505	825.263	1095.856	258.185	371.109	1211.288	282.441	43.191	0.000	0.000	0.000	1055.566	337.339	0.722	1075.537	515.463	1236.182	1087.524	570.606	964.852	977.730	582.084	774.223	906.160	544.303	627.706	1123.471	499.311	838.010	877.011	498.548	415.690	0.000	0.000	0.000	907.640	414.588	81.583	766.332	468.244	29.298
11	0.04167	890.637	327.746	1388.403	1125.725	347.628	1274.489	0.000	0.000	0.000	1086.578	178.523	1249.656	1090.378	120.959	972.509	1002.564	73.344	780.441	963.437	99.278	616.307	1072.110	180.859	825.033	1094.458	258.214	370.837	1211.336	282.842	43.250	0.000	0.000	0.000	1055.498	337.153	0.777	1072.903	515.493	1235.853	1085.574	571.011	964.719	976.006	582.422	773.806	904.570	545.512	627.775	1120.882	499.375	837.990	875.415	498.432	415.232	0.000	0.000	0.000	898.217	414.756	80.544	756.785	469.099	30.625
12	0.04583	888.021	327.487	1387.943	1123.444	347.597	1274.070	0.000	0.000	0.000	1084.473	178.377	1249.463	1087.950	120.992	971.838	999.322	74.012	779.935	960.006	99.962	615.214	1070.076	180.841	824.822	1093.338	258.165	370.912	1210.968	282.822	43.609	0.000	0.000	0.000	1055.341	337.170	0.840	1069.819	515.989	1235.100	1083.518	570.994	964.630	974.177	583.078	773.655	902.478	546.204	627.364	1118.522	499.428	837.739	873.718	497.641	414.450	0.000	0.000	0.000	890.171	416.051	77.205	747.642	469.251	32.513
13	0.05000	885.592	327.656	1387.271	1120.967	347.562	1273.952	0.000	0.000	0.000	1082.224	178.475	1249.156	1085.347	121.157	971.649	996.466	74.506	779.372	956.770	101.000	614.575	1068.217	180.958	824.554	1092.399	258.126	371.082	1211.037	283.169	43.693	0.000	0.000	0.000	1055.298	337.133	0.817	1067.369	516.119	1234.732	1081.510	571.236	964.496	972.484	583.487	773.350	900.841	547.166	626.816	1115.900	499.662	837.766	872.215	497.491	413.815	0.000	0.000	0.000	882.551	416.744	77.496	738.521	469.072	33.897
14	0.05417	883.141	327.855	1386.992	1118.821	347.583	1273.636	0.000	0.000	0.000	1079.904	178.600	1248.811	1083.077	121.389	971.197	993.644	74.920	778.867	953.729	101.749	614.277	1065.563	181.149	824.181	1091.246	258.251	370.800	1210.964	283.596	43.878	0.000	0.000	0.000	1055.179	337.365	1.203	1064.889	515.989	1234.500	1079.403	571.433	964.453	970.721	583.842	773.082	898.901	547.719	626.177	1113.425	499.755	837.160	870.659	497.159	413.142	0.000	0.000	0.000	874.873	417.608	77.244	729.597	469.084	34.724
15	0.05833	880.563	327.897	1386.303	1116.273	347.502	1273.389	0.000	0.000	0.000	1077.835	178.578	1248.485	1080.833	121.636	970.827	990.770	75.797	778.225	950.571	102.431	614.201	1063.083	181.454	823.730	1089.988	258.249	370.831	1210.918	283.884	43.966	0.000	0.000	0.000	1055.013	337.156	0.899	1062.458	516.071	1234.474	1077.316	571.673	964.340	968.900	584.542	772.976	896.893	548.529	625.969	1110.703	500.147	836.710	868.881	496.499	411.922	0.000	0.000	0.000	866.341	418.585	76.358	721.020	468.976	35.754
16	0.06250	878.051	327.765	1385.955	1114.113	347.568	1273.377	0.000	0.000	0.000	1075.469	178.697	1248.150	1078.378	121.956	970.357	987.907	76.302	777.686	947.426	103.461	614.450	1061.344	181.590	823.474	1088.419	258.260	371.500	1211.146	284.425	43.970	0.000	0.000	0.000	1054.941	337.135	0.913	1060.011	516.209	1234.277	1075.268	571.925	964.172	967.231	585.164	772.927	895.320	549.111	625.805	1108.190	500.314	836.426	867.402	496.152	411.393	0.000	0.000	0.000	858.949	419.324	73.986	712.811	469.620	36.895
17	0.06667	875.546	327.896	1385.600	1111.743	347.691	1272.991	0.000	0.000	0.000	1073.354	178.711	1247.860	1075.884	122.148	970.019	984.911	76.924	777.139	944.829	104.339	614.696	1058.935	181.741	823.106	1086.972	258.215	371.357	1210.904	284.301	44.093	0.000	0.000	0.000	1054.751	337.083	1.087	1057.633	516.156	1234.112	1073.081	572.152	963.984	965.356	585.549	772.717	893.305	549.607	625.624	1105.490	500.541	835.987	865.926	495.334	410.424	0.000	0.000	0.000	852.686	419.890	73.057	704.819	469.562	37.830
18	0.07083	872.953	327.660	1385.209	1109.034	347.762	1272.678	0.000	0.000	0.000	1070.963	178.739	1247.131	1073.516	122.459	969.656	981.982	77.364	776.733	941.755	105.080	614.511	1056.586	181.895	823.018	1085.664	258.414	370.943	1211.089	284.703	44.168	0.000	0.000	0.000	1054.612	336.932	1.061	1055.271	516.249	1233.879	1070.918	572.471	963.749	963.490	586.092	772.804	891.482	550.358	625.357	1101.392	501.255	835.169	864.575	494.674	409.651	0.000	0.000	0.000	845.886	420.893	74.609	697.051	469.848	39.288
19	0.07500	870.365	327.721	1384.756	1106.879	347.831	1272.510	0.000	0.000	0.000	1068.796	178.691	1246.751	1071.071	122.731	969.236	978.899	78.130	776.276	938.754	105.864	614.268	1054.282	182.182	822.789	1084.266	258.710	370.327	1210.836	284.650	44.166	0.000	0.000	0.000	1054.552	336.954	1.099	1052.838	516.499	1233.765	1068.835	572.886	963.775	961.727	586.693	772.341	889.746	550.878	625.270	1098.690	501.495	834.531	863.046	494.640	409.184	0.000	0.000	0.000	838.776	421.727	75.019	689.521	470.334	40.986
20	0.07917	867.782	327.555	1384.214	1104.695	347.904	1272.359	0.000	0.000	0.000	1066.439	178.673	1246.225	1068.805	123.081	968.820	976.689	78.459	776.200	936.119	106.848	613.984	1051.822	182.551	822.569	1082.787	258.398	370.201	1211.070	285.198	44.408	0.000	0.000	0.000	1054.472	336.885	1.129	1050.353	516.306	1233.461	1066.431	572.959	963.787	959.676	587.308	772.173	887.814	551.389	625.099	1095.903	501.726	834.241	861.828	494.404	409.114	0.000	0.000	0.000	832.396	421.943	74.028	682.604	470.715	42.188
21	0.08333	865.160	327.439	1383.681	1102.035	347.940	1272.020	0.000	0.000	0.000	1064.317	178.733	1245.714	1066.283	123.382	968.426	974.087	79.127	775.939	932.990	107.827	613.546	1049.302	182.924	822.408	1082.224	257.860	370.197	1211.172	285.497	44.400	0.000	0.000	0.000	1054.312	336.912	1.194	1047.877	516.358	1233.409	1064.153	573.362	963.785	957.661	587.757	772.019	886.079	552.248	624.632	1093.030	502.164	833.759	860.553	494.624	408.748	0.000	0.000	0.000	825.539	422.848	72.670	675.523	471.267	43.463
22	0.08750	862.574	327.462	1383.291	1099.974	347.987	1271.753	0.000	0.000	0.000	1062.259	178.771	1245.378	1063.772	123.778	967.512	971.556	79.970	775.844	929.912	108.966	612.637	1047.241	183.115	822.252	1080.113	258.074	370.084	1211.281	285.633	44.508	0.000	0.000	0.000	1054.198	337.029	1.279	1045.470	516.456	1233.251	1061.938	573.790	963.966	955.781	588.387	771.880	884.133	552.843	624.028	1090.266	502.450	833.212	859.396	494.235	407.966	0.000	0.000	0.000	818.873	423.501	72.240	669.028	471.871	44.543
23	0.09167	859.948	327.353	1382.671	1097.485	348.219	1271.544	0.000	0.000	0.000	1059.851	178.805	1244.994	1061.011	124.033	966.785	968.952	80.490	775.395	926.973	109.692	612.477	1045.121	183.430	822.150	1078.416	258.351	370.267	1211.207	285.977	44.927	0.000	0.000	0.000	1054.239	336.938	1.200	1042.998	516.472	1233.033	1059.702	574.227	963.991	953.768	588.867	771.799	882.431	553.195	623.698	1087.393	502.795	832.676	858.345	493.976	406.579	0.000	0.000	0.000	813.146	424.258	73.099	662.583	472.588	46.183
24	0.09583	857.322	327.025	1382.271	1094.969	348.308	1271.239	0.000	0.000	0.000	1057.836	178.863	1244.466	1058.556	124.267	966.309	966.212	81.114	775.120	924.299	110.602	612.144	1042.597	183.785	822.215	1077.146	258.174	370.529	1211.244	286.196	44.973	0.000	0.000	0.000	1054.055	336.943	1.250	1040.569	516.674	1232.845	1057.420	574.558	963.902	951.695	589.372	771.522	880.737	554.058	623.547	1084.549	503.220	832.270	857.403	494.407	406.198	0.000	0.000	0.000	807.525	424.796	73.370	656.320	472.942	47.716
25	0.10000	854.659	326.788	1381.947	1092.677	348.523	1271.096	0.000	0.000	0.000	1055.638	179.147	1244.295	1056.123	124.683	965.934	963.179	81.866	774.574	921.217	111.531	611.997	1040.178	184.260	821.928	1075.907	258.103	370.711	1211.413	286.410	45.378	0.000	0.000	0.000	1053.971	336.933	1.233	1038.125	516.762	1232.757	1055.216	574.990	963.855	949.553	590.024	771.297	878.779	554.572	623.587	1081.535	503.665	831.957	856.137	493.911	404.953	0.000	0.000	0.000	802.413	425.716	71.981	650.196	473.220	49.044
26	0.10417	852.103	326.871	1381.422	1090.301	348.684	1270.826	0.000	0.000	0.000	1053.658	179.235	1244.044	1053.874	125.144	965.563	960.329	82.578	774.191	918.610	112.181	611.597	1038.048	184.677	821.814	1074.472	258.083	370.860	1211.225	286.353	45.554	0.000	0.000	0.000	1054.006	337.177	1.613	1035.639	516.764	1232.684	1052.797	575.351	963.626	947.530	590.556	771.291	877.128	555.128	623.313	1078.402	503.445	831.217	854.919	493.708	403.765	0.000	0.000	0.000	796.644	426.081	71.857	644.418	473.648	50.876
27	0.10833	849.518	326.727	1381.054	1087.742	348.803	1270.611	0.000	0.000	0.000	1051.621	179.261	1243.817	1051.488	125.680	965.099	957.810	83.215	773.703	915.479	112.991	610.750	1035.965	184.980	821.918	1072.907	258.258	370.859	1211.851	287.132	46.178	0.000	0.000	0.000	1053.928	337.172	1.637	1033.235	516.933	1232.564	1050.477	575.697	963.546	945.540	591.118	771.262	875.441	556.206	623.114	1075.405	504.035	830.997	854.045	494.144	403.421	0.000	0.000	0.000	791.460	426.453	72.038	638.689	474.176	52.716
