BioWare Version 5.0.3.0 Export
Device:	UniHalleKlein 9286BA	UniHalleKlein 9286BA	UniHalleKlein 9286BA	UniHalleKlein 9286BA	UniHalleKlein 9286BA	UniHalleKlein 9286BA	UniHalleKlein 9286BA	UniHalleKlein 9286BA	TEZ Klein 9281B11	TEZ Klein 9281B11	TEZ Klein 9281B11	TEZ Klein 9281B11	TEZ Klein 9281B11	TEZ Klein 9281B11	TEZ Klein 9281B11	TEZ Klein 9281B11	Spowi Klein 9281B11	Spowi Klein 9281B11	Spowi Klein 9281B11	Spowi Klein 9281B11	Spowi Klein 9281B11	Spowi Klein 9281B11	Spowi Klein 9281B11	Spowi Klein 9281B11
Samples (#):	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840
Rate (Hz):	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000
Contact period start (sample #):	896	896	896	896	896	896	896	896	1536	1536	1536	1536	1536	1536	1536	1536	275	275	275	275	275	275	275	275
Contact period end (sample #):	1707	1707	1707	1707	1707	1707	1707	1707	2419	2419	2419	2419	2419	2419	2419	2419	1082	1082	1082	1082	1082	1082	1082	1082
Contact period start time (s):	0.933333	0.933333	0.933333	0.933333	0.933333	0.933333	0.933333	0.933333	1.600000	1.600000	1.600000	1.600000	1.600000	1.600000	1.600000	1.600000	0.286458	0.286458	0.286458	0.286458	0.286458	0.286458	0.286458	0.286458
Contact period end time (s):	1.778125	1.778125	1.778125	1.778125	1.778125	1.778125	1.778125	1.778125	2.519792	2.519792	2.519792	2.519792	2.519792	2.519792	2.519792	2.519792	1.127083	1.127083	1.127083	1.127083	1.127083	1.127083	1.127083	1.127083
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
